类型,根函数名,函数名,包含性样本,排除性样本,包含性样本 %,排除性样本 %,
"Caller","[System.Data.ni.dll]","MySql.Data.MySqlClient.MySqlBaseConnectionStringBuilder..ctor",11,1,0.03,0.00,
"Caller","[System.Data.ni.dll]","MySql.Data.MySqlClient.MySqlBaseConnectionStringBuilder.SetInternalValue",6,6,0.02,0.02,
"Caller","[System.Data.ni.dll]","MySql.Data.MySqlClient.MySqlPoolManager.GetKey",2,2,0.01,0.01,
"Caller","[System.Data.ni.dll]","ZBYGate_Data_Collection.LocalDataBase.MySqlHelper.GetDataSet",30,18,0.09,0.05,
"Callee","[System.Data.ni.dll]","MySql.Data.MySqlClient.MySqlCommand.ExecuteDbDataReader",3,0,0.01,0.00,
"Callee","[System.Data.ni.dll]","MySql.Data.MySqlClient.MySqlConnectionStringBuilder.set_Item",10,0,0.03,0.00,
"Callee","[System.Data.ni.dll]","MySql.Data.MySqlClient.MySqlDataReader.GetValues",9,0,0.03,0.00,
"Root","[System.Management.ni.dll]","[System.Management.ni.dll]",5,0,0.01,0.00,
"Caller","[System.Management.ni.dll]","MySql.Data.MySqlClient.MySqlConnectAttrs.get_OSDetails",5,0,0.01,0.00,
"Callee","[System.Management.ni.dll]","[fastprox.dll]",1,0,0.00,0.00,
"Callee","[System.Management.ni.dll]","dynamicClass.IL_STUB_PInvoke",2,0,0.01,0.00,
"Callee","[System.Management.ni.dll]","dynamicClass.IL_STUB_PInvoke",1,0,0.00,0.00,
